case	distancePaper	distanceNosotros	optimos
8380	3599	2477	2970
8381	4199	3141	3599
8382	4599	3457	3855
8383	0	877	1071
8384	1396	889	1137
8385	0	3405	4048
8386	0	4515	5418
8387	0	516	781
8388	2697	1715	2075
8389	1598	1289	1467
8390	1399	920	1299
8391	1567	738	1442
8392	5599	4397	4942
8393	0	1243	1648
8394	1698	1310	1490
8395	6699	4459	5233
8396	0	368	554
8397	2177	1317	1703
8398	3298	2618	2988
8399	1368	603	1224
8400	2499	1578	2160
8401	1648	1082	1292
8402	2197	1478	1821
8403	0	1346	1518
8404	0	1485	2133
8405	4157	3305	3746
8406	4999	2789	3352
8407	268	277	546
8408	2599	1755	2090
8409	2699	1433	1814
8410	3365	2539	2878
8411	1198	707	917
8412	3999	2737	3180
8413	2397	1446	2179
8414	1398	645	1273
8415	0	5606	6382
8416	1195	563	1092
8417	2898	1847	2338
8418	2474	1729	2163
8419	1999	1641	1829
8420	1284	897	1164
8421	5799	4482	5081
8422	2572	1563	2126
8423	1780	1244	1432
8424	1998	1548	1814
8425	4498	3502	4016
8426	1454	835	1028
8427	5499	3735	4350
8428	1497	1036	1410
8429	4899	3208	3909
8430	1496	894	1339
8431	3498	2246	2828
8432	1284	979	1173
8433	2299	1288	1455
8434	0	495	670
8435	2698	1726	2159
8436	1340	634	1277
8437	2397	1431	2125
8438	1397	645	1265
8439	0	442	635
8440	3464	1904	2510
8441	4800	3029	3655
8442	5099	3507	4096
8443	4299	3136	3648
8444	2968	1831	2243
8445	2999	1616	2086
8446	1895	1242	1452
8447	3398	2474	3114
8448	2397	1436	2007
8449	2098	1611	1893
8450	1998	1510	1798
8451	5398	3795	4329
8452	0	3647	4066
8453	3899	2867	3408
8454	0	2414	3124
8455	1796	1261	1610
8456	4499	3257	3820
8457	3798	2387	2742
8458	2769	1637	2130
8459	0	1039	1298
8460	887	534	810
8461	2598	1727	2028
8462	6699	4549	5315
8463	4298	2996	3743
8464	1897	711	1041
8465	3099	2067	2654
8466	6899	4985	5761
8467	3599	2698	3227
8468	3299	2242	2729
8469	2699	1600	1985
8470	4698	3812	4276
8471	161	336	523
8472	999	463	921
8473	4299	2842	3337
8474	2798	1810	2272
8475	0	3237	3864
8476	3499	2269	2803
8477	1598	910	1189
8478	4699	2636	3284
8479	1498	931	1398
8480	2998	2095	2537
8481	1727	980	1416
8482	1534	908	1103
8483	3398	2161	2881
8484	2699	2200	2449
8485	2897	2192	2650
8486	2997	2344	2705
8487	1997	1536	1738
8488	2298	1763	2126
8489	6699	5075	5659
8490	102	392	524
8491	1699	862	1110
8492	0	5639	6223
8493	1499	832	1185
8494	0	1193	1566
8495	3098	1462	1862
8496	1098	790	894
8497	0	826	1098
8498	0	3230	3934
8499	1396	659	1302
8500	4499	2953	3681
8501	5999	4409	5112
8502	2899	1933	2625
8503	0	3214	3758
8504	0	616	804
8505	1073	657	1023
8506	2770	1872	2247
8507	2399	1430	1716
8508	1296	818	1211
8509	423	442	905
8510	2199	1430	1775
8511	1599	1140	1500
8512	4799	3518	4102
8513	3999	2820	3458
8514	2597	1848	2227
8515	171	258	438
8516	5399	4221	4932
8517	3464	2381	3088
8518	3498	2549	2906
8519	1999	1172	1831
8520	734	349	685
8521	3699	2547	2904
8522	1399	634	1264
8523	0	1900	2344
8524	2899	2182	2629
8525	6899	5244	5874
8526	2799	1838	2101
8527	1498	1185	1354
8528	5599	3632	4277
8529	0	680	1050
8530	3598	2467	2992
8531	0	371	550
8532	3198	1985	2533
8533	1646	1166	1337
8534	2798	1736	2388
8535	0	4862	5502
8536	0	1574	1841
